Username,CourseName,InteractionType,Timestamp,Value
lisa80,Machine Learning,rating,2024-12-06 03:45:32,3.0
lisa80,Creative Writing,complete,2024-12-06 03:45:32,
lisa80,Creative Writing,rating,2024-12-06 03:45:32,1.0
castroanna,SEO Strategies,enroll,2024-12-06 03:45:32,
castroanna,SEO Strategies,rating,2024-12-06 03:45:32,5.0
castroanna,History of Art,enroll,2024-12-06 03:45:32,
castroanna,History of Art,rating,2024-12-06 03:45:32,5.0
jeffreysmith,Finance Fundamentals,enroll,2024-12-06 03:45:32,
jeffreysmith,Finance Fundamentals,rating,2024-12-06 03:45:32,2.0
jeffreysmith,Digital Marketing Basics,enroll,2024-12-06 03:45:32,
jeffreysmith,Digital Marketing Basics,rating,2024-12-06 03:45:32,3.0
jeffreysmith,Creative Writing,view,2024-12-06 03:45:32,
jeffreysmith,Creative Writing,rating,2024-12-06 03:45:32,5.0
jeffreysmith,Cloud Computing,view,2024-12-06 03:45:32,
jeffreysmith,Cloud Computing,rating,2024-12-06 03:45:32,1.0
jeffreysmith,SEO Strategies,enroll,2024-12-06 03:45:32,
jeffreysmith,SEO Strategies,rating,2024-12-06 03:45:32,2.0
rcarpenter,AI for Beginners,enroll,2024-12-06 03:45:32,
rcarpenter,AI for Beginners,rating,2024-12-06 03:45:32,2.0
rcarpenter,UX Design Basics,view,2024-12-06 03:45:32,
rcarpenter,UX Design Basics,rating,2024-12-06 03:45:32,1.0
rcarpenter,Quantum Computing 101,enroll,2024-12-06 03:45:32,
rcarpenter,Quantum Computing 101,rating,2024-12-06 03:45:32,2.0
rcarpenter,Graphic Design Fundamentals,enroll,2024-12-06 03:45:32,
rcarpenter,Graphic Design Fundamentals,rating,2024-12-06 03:45:32,3.0
rcarpenter,Excel for Beginners,complete,2024-12-06 03:45:32,
rcarpenter,Excel for Beginners,rating,2024-12-06 03:45:32,3.0
kathleenfrye,Intro to Python,enroll,2024-12-06 03:45:32,
kathleenfrye,Intro to Python,rating,2024-12-06 03:45:32,4.0
kathleenfrye,Excel for Beginners,enroll,2024-12-06 03:45:32,
kathleenfrye,Excel for Beginners,rating,2024-12-06 03:45:32,1.0
kathleenfrye,Game Development,view,2024-12-06 03:45:32,
kathleenfrye,Game Development,rating,2024-12-06 03:45:32,4.0
kathleenfrye,Advanced Java,view,2024-12-06 03:45:32,
kathleenfrye,Advanced Java,rating,2024-12-06 03:45:32,1.0
uwelch,Machine Learning,view,2024-12-06 03:45:32,
uwelch,Machine Learning,rating,2024-12-06 03:45:32,5.0
uwelch,Web Development Bootcamp,enroll,2024-12-06 03:45:32,
uwelch,Web Development Bootcamp,rating,2024-12-06 03:45:32,2.0
uwelch,Mobile App Development,complete,2024-12-06 03:45:32,
uwelch,Mobile App Development,rating,2024-12-06 03:45:32,4.0
uwelch,Music Production,complete,2024-12-06 03:45:32,
uwelch,Music Production,rating,2024-12-06 03:45:32,5.0
uwelch,Blockchain Basics,enroll,2024-12-06 03:45:32,
uwelch,Blockchain Basics,rating,2024-12-06 03:45:32,5.0
wilsonstanley,Quantum Computing 101,enroll,2024-12-06 03:45:32,
wilsonstanley,Quantum Computing 101,rating,2024-12-06 03:45:32,4.0
wilsonstanley,Photography Basics,complete,2024-12-06 03:45:32,
wilsonstanley,Photography Basics,rating,2024-12-06 03:45:32,1.0
wilsonstanley,Web Development Bootcamp,complete,2024-12-06 03:45:32,
wilsonstanley,Web Development Bootcamp,rating,2024-12-06 03:45:32,5.0
wilsonstanley,AI for Beginners,view,2024-12-06 03:45:32,
wilsonstanley,AI for Beginners,rating,2024-12-06 03:45:32,1.0
wilsonstanley,Blockchain Basics,enroll,2024-12-06 03:45:32,
wilsonstanley,Blockchain Basics,rating,2024-12-06 03:45:32,4.0
andreamccarthy,Machine Learning,enroll,2024-12-06 03:45:32,
andreamccarthy,Machine Learning,rating,2024-12-06 03:45:32,1.0
andreamccarthy,Creative Writing,complete,2024-12-06 03:45:32,
andreamccarthy,Creative Writing,rating,2024-12-06 03:45:32,4.0
andreamccarthy,Data Science 101,view,2024-12-06 03:45:32,
andreamccarthy,Data Science 101,rating,2024-12-06 03:45:32,1.0
jmccarthy,Cloud Computing,complete,2024-12-06 03:45:32,
jmccarthy,Cloud Computing,rating,2024-12-06 03:45:32,2.0
jmccarthy,Graphic Design Fundamentals,complete,2024-12-06 03:45:32,
jmccarthy,Graphic Design Fundamentals,rating,2024-12-06 03:45:32,4.0
pfoster,Excel for Beginners,view,2024-12-06 03:45:32,
pfoster,Excel for Beginners,rating,2024-12-06 03:45:32,3.0
pfoster,Photography Basics,complete,2024-12-06 03:45:32,
pfoster,Photography Basics,rating,2024-12-06 03:45:32,3.0
paulwatson,Advanced Java,complete,2024-12-06 03:45:32,
paulwatson,Advanced Java,rating,2024-12-06 03:45:32,4.0
paulwatson,Project Management,enroll,2024-12-06 03:45:32,
paulwatson,Project Management,rating,2024-12-06 03:45:32,3.0
paulwatson,UX Design Basics,complete,2024-12-06 03:45:32,
paulwatson,UX Design Basics,rating,2024-12-06 03:45:32,5.0
paulwatson,Fitness and Wellness,complete,2024-12-06 03:45:32,
paulwatson,Fitness and Wellness,rating,2024-12-06 03:45:32,4.0
christopherpotter,Advanced Java,enroll,2024-12-06 03:45:32,
christopherpotter,Advanced Java,rating,2024-12-06 03:45:32,3.0
christopherpotter,Machine Learning,view,2024-12-06 03:45:32,
christopherpotter,Machine Learning,rating,2024-12-06 03:45:32,3.0
christopherpotter,Mobile App Development,complete,2024-12-06 03:45:32,
christopherpotter,Mobile App Development,rating,2024-12-06 03:45:32,1.0
madeline47,Statistics for Data Science,view,2024-12-06 03:45:32,
madeline47,Statistics for Data Science,rating,2024-12-06 03:45:32,5.0
madeline47,Blockchain Basics,complete,2024-12-06 03:45:32,
madeline47,Blockchain Basics,rating,2024-12-06 03:45:32,2.0
madeline47,Graphic Design Fundamentals,enroll,2024-12-06 03:45:32,
madeline47,Graphic Design Fundamentals,rating,2024-12-06 03:45:32,4.0
madeline47,Ethical Hacking,view,2024-12-06 03:45:32,
madeline47,Ethical Hacking,rating,2024-12-06 03:45:32,1.0
adamssharon,Cooking Essentials,complete,2024-12-06 03:45:32,
adamssharon,Cooking Essentials,rating,2024-12-06 03:45:32,3.0
adamssharon,Machine Learning,enroll,2024-12-06 03:45:32,
adamssharon,Machine Learning,rating,2024-12-06 03:45:32,2.0
adamssharon,Cloud Computing,view,2024-12-06 03:45:32,
adamssharon,Cloud Computing,rating,2024-12-06 03:45:32,1.0
adamssharon,Social Media Marketing,enroll,2024-12-06 03:45:32,
adamssharon,Social Media Marketing,rating,2024-12-06 03:45:32,3.0
adamssharon,Advanced Java,complete,2024-12-06 03:45:32,
adamssharon,Advanced Java,rating,2024-12-06 03:45:32,5.0
gina35,Excel for Beginners,view,2024-12-06 03:45:32,
gina35,Excel for Beginners,rating,2024-12-06 03:45:32,3.0
gina35,Game Development,complete,2024-12-06 03:45:32,
gina35,Game Development,rating,2024-12-06 03:45:32,1.0
gina35,History of Art,view,2024-12-06 03:45:32,
gina35,History of Art,rating,2024-12-06 03:45:32,1.0
gina35,AI for Beginners,complete,2024-12-06 03:45:32,
gina35,AI for Beginners,rating,2024-12-06 03:45:32,5.0
caseycampbell,Public Speaking,enroll,2024-12-06 03:45:32,
caseycampbell,Public Speaking,rating,2024-12-06 03:45:32,3.0
caseycampbell,Cybersecurity Essentials,view,2024-12-06 03:45:32,
caseycampbell,Cybersecurity Essentials,rating,2024-12-06 03:45:32,2.0
adam37,SEO Strategies,enroll,2024-12-06 03:45:32,
adam37,SEO Strategies,rating,2024-12-06 03:45:32,3.0
adam37,Cloud Computing,enroll,2024-12-06 03:45:32,
adam37,Cloud Computing,rating,2024-12-06 03:45:32,4.0
adam37,UX Design Basics,view,2024-12-06 03:45:32,
adam37,UX Design Basics,rating,2024-12-06 03:45:32,5.0
richardsonchristopher,AI for Beginners,view,2024-12-06 03:45:32,
richardsonchristopher,AI for Beginners,rating,2024-12-06 03:45:32,3.0
richardsonchristopher,Project Management,enroll,2024-12-06 03:45:32,
richardsonchristopher,Project Management,rating,2024-12-06 03:45:32,5.0
richardsonchristopher,Cloud Computing,enroll,2024-12-06 03:45:32,
richardsonchristopher,Cloud Computing,rating,2024-12-06 03:45:32,3.0
brownlori,Excel for Beginners,complete,2024-12-06 03:45:32,
brownlori,Excel for Beginners,rating,2024-12-06 03:45:32,3.0
brownlori,Game Development,complete,2024-12-06 03:45:32,
brownlori,Game Development,rating,2024-12-06 03:45:32,4.0
lauren09,Finance Fundamentals,enroll,2024-12-06 03:45:32,
lauren09,Finance Fundamentals,rating,2024-12-06 03:45:32,1.0
lauren09,Excel for Beginners,view,2024-12-06 03:45:32,
lauren09,Excel for Beginners,rating,2024-12-06 03:45:32,3.0
florespaul,Digital Marketing Basics,enroll,2024-12-06 03:45:32,
florespaul,Digital Marketing Basics,rating,2024-12-06 03:45:32,1.0
florespaul,Excel for Beginners,enroll,2024-12-06 03:45:32,
florespaul,Excel for Beginners,rating,2024-12-06 03:45:32,2.0
florespaul,AI for Beginners,complete,2024-12-06 03:45:32,
florespaul,AI for Beginners,rating,2024-12-06 03:45:32,1.0
florespaul,Photography Basics,complete,2024-12-06 03:45:32,
florespaul,Photography Basics,rating,2024-12-06 03:45:32,4.0
russell43,Web Development Bootcamp,complete,2024-12-06 03:45:32,
russell43,Web Development Bootcamp,rating,2024-12-06 03:45:32,4.0
russell43,Data Science 101,view,2024-12-06 03:45:32,
russell43,Data Science 101,rating,2024-12-06 03:45:32,5.0
fharris,Finance Fundamentals,complete,2024-12-06 03:45:32,
fharris,Finance Fundamentals,rating,2024-12-06 03:45:32,2.0
fharris,Social Media Marketing,view,2024-12-06 03:45:32,
fharris,Social Media Marketing,rating,2024-12-06 03:45:32,5.0
fharris,Digital Marketing Basics,complete,2024-12-06 03:45:32,
fharris,Digital Marketing Basics,rating,2024-12-06 03:45:32,2.0
fharris,Excel for Beginners,view,2024-12-06 03:45:32,
fharris,Excel for Beginners,rating,2024-12-06 03:45:32,1.0
fharris,Quantum Computing 101,complete,2024-12-06 03:45:32,
fharris,Quantum Computing 101,rating,2024-12-06 03:45:32,4.0
dorothypearson,Cooking Essentials,enroll,2024-12-06 03:45:32,
dorothypearson,Cooking Essentials,rating,2024-12-06 03:45:32,5.0
dorothypearson,Statistics for Data Science,view,2024-12-06 03:45:32,
dorothypearson,Statistics for Data Science,rating,2024-12-06 03:45:32,4.0
dorothypearson,Game Development,complete,2024-12-06 03:45:32,
dorothypearson,Game Development,rating,2024-12-06 03:45:32,1.0
dorothypearson,Music Production,complete,2024-12-06 03:45:32,
dorothypearson,Music Production,rating,2024-12-06 03:45:32,2.0
dorothypearson,Fitness and Wellness,view,2024-12-06 03:45:32,
dorothypearson,Fitness and Wellness,rating,2024-12-06 03:45:32,1.0
alexisreynolds,Mobile App Development,view,2024-12-06 03:45:32,
alexisreynolds,Mobile App Development,rating,2024-12-06 03:45:32,5.0
alexisreynolds,Advanced Java,enroll,2024-12-06 03:45:32,
alexisreynolds,Advanced Java,rating,2024-12-06 03:45:32,5.0
alexisreynolds,Web Development Bootcamp,enroll,2024-12-06 03:45:32,
alexisreynolds,Web Development Bootcamp,rating,2024-12-06 03:45:32,1.0
hmorales,SEO Strategies,view,2024-12-06 03:45:32,
hmorales,SEO Strategies,rating,2024-12-06 03:45:32,3.0
hmorales,Ethical Hacking,complete,2024-12-06 03:45:32,
hmorales,Ethical Hacking,rating,2024-12-06 03:45:32,4.0
hmorales,Interior Design Basics,complete,2024-12-06 03:45:32,
hmorales,Interior Design Basics,rating,2024-12-06 03:45:32,5.0
jnguyen,Cooking Essentials,view,2024-12-06 03:45:32,
jnguyen,Cooking Essentials,rating,2024-12-06 03:45:32,1.0
jnguyen,Ethical Hacking,view,2024-12-06 03:45:32,
jnguyen,Ethical Hacking,rating,2024-12-06 03:45:32,5.0
jnguyen,Mobile App Development,complete,2024-12-06 03:45:32,
jnguyen,Mobile App Development,rating,2024-12-06 03:45:32,5.0
ncooper,Fitness and Wellness,view,2024-12-06 03:45:32,
ncooper,Fitness and Wellness,rating,2024-12-06 03:45:32,5.0
ncooper,Interior Design Basics,enroll,2024-12-06 03:45:32,
ncooper,Interior Design Basics,rating,2024-12-06 03:45:32,3.0
ncooper,Machine Learning,enroll,2024-12-06 03:45:32,
ncooper,Machine Learning,rating,2024-12-06 03:45:32,2.0
ncooper,Mobile App Development,view,2024-12-06 03:45:32,
ncooper,Mobile App Development,rating,2024-12-06 03:45:32,4.0
allenbrittany,Machine Learning,view,2024-12-06 03:45:32,
allenbrittany,Machine Learning,rating,2024-12-06 03:45:32,1.0
allenbrittany,UX Design Basics,enroll,2024-12-06 03:45:32,
allenbrittany,UX Design Basics,rating,2024-12-06 03:45:32,4.0
ugrant,Advanced Java,complete,2024-12-06 03:45:32,
ugrant,Advanced Java,rating,2024-12-06 03:45:32,2.0
ugrant,Finance Fundamentals,complete,2024-12-06 03:45:32,
ugrant,Finance Fundamentals,rating,2024-12-06 03:45:32,1.0
ugrant,Photography Basics,enroll,2024-12-06 03:45:32,
ugrant,Photography Basics,rating,2024-12-06 03:45:32,4.0
ugrant,Interior Design Basics,complete,2024-12-06 03:45:32,
ugrant,Interior Design Basics,rating,2024-12-06 03:45:32,3.0
vmartinez,Web Development Bootcamp,enroll,2024-12-06 03:45:32,
vmartinez,Web Development Bootcamp,rating,2024-12-06 03:45:32,3.0
vmartinez,Social Media Marketing,view,2024-12-06 03:45:32,
vmartinez,Social Media Marketing,rating,2024-12-06 03:45:32,5.0
vmartinez,Project Management,enroll,2024-12-06 03:45:32,
vmartinez,Project Management,rating,2024-12-06 03:45:32,3.0
vmartinez,Mobile App Development,complete,2024-12-06 03:45:32,
vmartinez,Mobile App Development,rating,2024-12-06 03:45:32,1.0
vmartinez,Graphic Design Fundamentals,view,2024-12-06 03:45:32,
vmartinez,Graphic Design Fundamentals,rating,2024-12-06 03:45:32,3.0
laura77,Music Production,enroll,2024-12-06 03:45:32,
laura77,Music Production,rating,2024-12-06 03:45:32,5.0
laura77,Statistics for Data Science,enroll,2024-12-06 03:45:32,
laura77,Statistics for Data Science,rating,2024-12-06 03:45:32,3.0
curtisochoa,Mobile App Development,enroll,2024-12-06 03:45:32,
curtisochoa,Mobile App Development,rating,2024-12-06 03:45:32,1.0
curtisochoa,Intro to Python,enroll,2024-12-06 03:45:32,
curtisochoa,Intro to Python,rating,2024-12-06 03:45:32,1.0
curtisochoa,Ethical Hacking,enroll,2024-12-06 03:45:32,
curtisochoa,Ethical Hacking,rating,2024-12-06 03:45:32,3.0
curtisochoa,Cloud Computing,enroll,2024-12-06 03:45:32,
curtisochoa,Cloud Computing,rating,2024-12-06 03:45:32,1.0
curtisochoa,Project Management,view,2024-12-06 03:45:32,
curtisochoa,Project Management,rating,2024-12-06 03:45:32,3.0
tonynunez,Mobile App Development,complete,2024-12-06 03:45:32,
tonynunez,Mobile App Development,rating,2024-12-06 03:45:32,1.0
tonynunez,Cybersecurity Essentials,complete,2024-12-06 03:45:32,
tonynunez,Cybersecurity Essentials,rating,2024-12-06 03:45:32,1.0
tonynunez,Fitness and Wellness,complete,2024-12-06 03:45:32,
tonynunez,Fitness and Wellness,rating,2024-12-06 03:45:32,2.0
tonynunez,Digital Marketing Basics,complete,2024-12-06 03:45:32,
tonynunez,Digital Marketing Basics,rating,2024-12-06 03:45:32,4.0
gregory11,Project Management,enroll,2024-12-06 03:45:32,
gregory11,Project Management,rating,2024-12-06 03:45:32,1.0
gregory11,Finance Fundamentals,complete,2024-12-06 03:45:32,
gregory11,Finance Fundamentals,rating,2024-12-06 03:45:32,2.0
gregory11,Fitness and Wellness,complete,2024-12-06 03:45:32,
gregory11,Fitness and Wellness,rating,2024-12-06 03:45:32,2.0
gregory11,History of Art,view,2024-12-06 03:45:32,
gregory11,History of Art,rating,2024-12-06 03:45:32,4.0
gregory11,UX Design Basics,complete,2024-12-06 03:45:32,
gregory11,UX Design Basics,rating,2024-12-06 03:45:32,5.0
danielle47,Finance Fundamentals,view,2024-12-06 03:45:32,
danielle47,Finance Fundamentals,rating,2024-12-06 03:45:32,1.0
danielle47,Fitness and Wellness,complete,2024-12-06 03:45:32,
danielle47,Fitness and Wellness,rating,2024-12-06 03:45:32,5.0
mitchelljoshua,Creative Writing,complete,2024-12-06 03:45:32,
mitchelljoshua,Creative Writing,rating,2024-12-06 03:45:32,4.0
mitchelljoshua,Social Media Marketing,complete,2024-12-06 03:45:32,
mitchelljoshua,Social Media Marketing,rating,2024-12-06 03:45:32,3.0
kristensheppard,Social Media Marketing,enroll,2024-12-06 03:45:32,
kristensheppard,Social Media Marketing,rating,2024-12-06 03:45:32,2.0
kristensheppard,UX Design Basics,enroll,2024-12-06 03:45:32,
kristensheppard,UX Design Basics,rating,2024-12-06 03:45:32,5.0
kristensheppard,Fitness and Wellness,enroll,2024-12-06 03:45:32,
kristensheppard,Fitness and Wellness,rating,2024-12-06 03:45:32,4.0
hernandezbradley,UX Design Basics,complete,2024-12-06 03:45:32,
hernandezbradley,UX Design Basics,rating,2024-12-06 03:45:32,5.0
hernandezbradley,Statistics for Data Science,view,2024-12-06 03:45:32,
hernandezbradley,Statistics for Data Science,rating,2024-12-06 03:45:32,4.0
hernandezbradley,History of Art,enroll,2024-12-06 03:45:32,
hernandezbradley,History of Art,rating,2024-12-06 03:45:32,4.0
hernandezbradley,Advanced Java,view,2024-12-06 03:45:32,
hernandezbradley,Advanced Java,rating,2024-12-06 03:45:32,4.0
hernandezbradley,Web Development Bootcamp,view,2024-12-06 03:45:32,
hernandezbradley,Web Development Bootcamp,rating,2024-12-06 03:45:32,5.0
benjaminwilliams,Finance Fundamentals,enroll,2024-12-06 03:45:32,
benjaminwilliams,Finance Fundamentals,rating,2024-12-06 03:45:32,4.0
benjaminwilliams,Machine Learning,complete,2024-12-06 03:45:32,
benjaminwilliams,Machine Learning,rating,2024-12-06 03:45:32,5.0
benjaminwilliams,Project Management,enroll,2024-12-06 03:45:32,
benjaminwilliams,Project Management,rating,2024-12-06 03:45:32,5.0
benjaminwilliams,History of Art,view,2024-12-06 03:45:32,
benjaminwilliams,History of Art,rating,2024-12-06 03:45:32,3.0
benjaminwilliams,Creative Writing,enroll,2024-12-06 03:45:32,
benjaminwilliams,Creative Writing,rating,2024-12-06 03:45:32,3.0
karensweeney,Public Speaking,complete,2024-12-06 03:45:32,
karensweeney,Public Speaking,rating,2024-12-06 03:45:32,1.0
karensweeney,Ethical Hacking,view,2024-12-06 03:45:32,
karensweeney,Ethical Hacking,rating,2024-12-06 03:45:32,2.0
karensweeney,Mobile App Development,view,2024-12-06 03:45:32,
karensweeney,Mobile App Development,rating,2024-12-06 03:45:32,3.0
karensweeney,Photography Basics,view,2024-12-06 03:45:32,
karensweeney,Photography Basics,rating,2024-12-06 03:45:32,4.0
daisymejia,Cloud Computing,enroll,2024-12-06 03:45:32,
daisymejia,Cloud Computing,rating,2024-12-06 03:45:32,3.0
daisymejia,SEO Strategies,view,2024-12-06 03:45:32,
daisymejia,SEO Strategies,rating,2024-12-06 03:45:32,1.0
daisymejia,Public Speaking,enroll,2024-12-06 03:45:32,
daisymejia,Public Speaking,rating,2024-12-06 03:45:32,3.0
daisymejia,Social Media Marketing,enroll,2024-12-06 03:45:32,
daisymejia,Social Media Marketing,rating,2024-12-06 03:45:32,4.0
mcdonaldcatherine,AI for Beginners,view,2024-12-06 03:45:32,
mcdonaldcatherine,AI for Beginners,rating,2024-12-06 03:45:32,2.0
mcdonaldcatherine,Mobile App Development,enroll,2024-12-06 03:45:32,
mcdonaldcatherine,Mobile App Development,rating,2024-12-06 03:45:32,4.0
mcdonaldcatherine,Cooking Essentials,enroll,2024-12-06 03:45:32,
mcdonaldcatherine,Cooking Essentials,rating,2024-12-06 03:45:32,1.0
amays,Cooking Essentials,enroll,2024-12-06 03:45:32,
amays,Cooking Essentials,rating,2024-12-06 03:45:32,4.0
amays,Finance Fundamentals,view,2024-12-06 03:45:32,
amays,Finance Fundamentals,rating,2024-12-06 03:45:32,1.0
amays,Web Development Bootcamp,enroll,2024-12-06 03:45:32,
amays,Web Development Bootcamp,rating,2024-12-06 03:45:32,2.0
amays,SEO Strategies,view,2024-12-06 03:45:32,
amays,SEO Strategies,rating,2024-12-06 03:45:32,5.0
shawdanielle,Data Science 101,view,2024-12-06 03:45:32,
shawdanielle,Data Science 101,rating,2024-12-06 03:45:32,4.0
shawdanielle,AI for Beginners,enroll,2024-12-06 03:45:32,
shawdanielle,AI for Beginners,rating,2024-12-06 03:45:32,4.0
bellalyssa,Interior Design Basics,enroll,2024-12-06 03:45:32,
bellalyssa,Interior Design Basics,rating,2024-12-06 03:45:32,5.0
bellalyssa,Digital Marketing Basics,enroll,2024-12-06 03:45:32,
bellalyssa,Digital Marketing Basics,rating,2024-12-06 03:45:32,3.0
bellalyssa,Quantum Computing 101,view,2024-12-06 03:45:32,
bellalyssa,Quantum Computing 101,rating,2024-12-06 03:45:32,3.0
atate,Digital Marketing Basics,enroll,2024-12-06 03:45:32,
atate,Digital Marketing Basics,rating,2024-12-06 03:45:32,5.0
atate,Graphic Design Fundamentals,view,2024-12-06 03:45:32,
atate,Graphic Design Fundamentals,rating,2024-12-06 03:45:32,2.0
sarahlivingston,History of Art,complete,2024-12-06 03:45:32,
sarahlivingston,History of Art,rating,2024-12-06 03:45:32,1.0
sarahlivingston,Music Production,enroll,2024-12-06 03:45:32,
sarahlivingston,Music Production,rating,2024-12-06 03:45:32,4.0
sarahlivingston,Game Development,enroll,2024-12-06 03:45:32,
sarahlivingston,Game Development,rating,2024-12-06 03:45:32,3.0
sarahlivingston,Machine Learning,complete,2024-12-06 03:45:32,
sarahlivingston,Machine Learning,rating,2024-12-06 03:45:32,4.0
sarahlivingston,Cloud Computing,enroll,2024-12-06 03:45:32,
sarahlivingston,Cloud Computing,rating,2024-12-06 03:45:32,5.0
santiagomartin,Advanced Java,complete,2024-12-06 03:45:32,
